starttime	seconds	ctime	dtime	ttime	wait
Fri May 31 14:50:44 2024	1717147244	0	107	107	107
Fri May 31 14:50:39 2024	1717147239	2	105	107	102
Fri May 31 14:50:40 2024	1717147240	0	109	109	108
Fri May 31 14:50:45 2024	1717147245	0	109	109	109
Fri May 31 14:50:42 2024	1717147242	0	109	109	109
Fri May 31 14:50:41 2024	1717147241	0	110	110	109
Fri May 31 14:50:40 2024	1717147240	0	110	110	110
Fri May 31 14:50:45 2024	1717147245	0	111	111	111
Fri May 31 14:50:40 2024	1717147240	0	111	111	111
Fri May 31 14:50:41 2024	1717147241	0	112	112	111
Fri May 31 14:50:45 2024	1717147245	0	112	112	112
Fri May 31 14:50:41 2024	1717147241	0	112	112	112
Fri May 31 14:50:41 2024	1717147241	0	113	113	113
Fri May 31 14:50:44 2024	1717147244	0	113	113	100
Fri May 31 14:50:39 2024	1717147239	2	112	114	112
Fri May 31 14:50:45 2024	1717147245	0	114	114	114
Fri May 31 14:50:47 2024	1717147247	1	114	115	113
Fri May 31 14:50:41 2024	1717147241	0	115	115	115
Fri May 31 14:50:41 2024	1717147241	0	116	116	116
Fri May 31 14:50:41 2024	1717147241	0	117	117	117
Fri May 31 14:50:47 2024	1717147247	0	117	117	117
Fri May 31 14:50:41 2024	1717147241	0	117	117	117
Fri May 31 14:50:43 2024	1717147243	0	117	117	117
Fri May 31 14:50:43 2024	1717147243	0	117	117	117
Fri May 31 14:50:40 2024	1717147240	0	118	118	117
Fri May 31 14:50:44 2024	1717147244	0	118	118	118
Fri May 31 14:50:47 2024	1717147247	0	118	118	118
Fri May 31 14:50:43 2024	1717147243	0	119	119	118
Fri May 31 14:50:42 2024	1717147242	0	119	119	119
Fri May 31 14:50:43 2024	1717147243	0	119	119	119
Fri May 31 14:50:47 2024	1717147247	0	120	120	119
Fri May 31 14:50:46 2024	1717147246	0	120	120	119
Fri May 31 14:50:42 2024	1717147242	0	120	120	109
Fri May 31 14:50:41 2024	1717147241	0	120	120	120
Fri May 31 14:50:41 2024	1717147241	0	120	120	120
Fri May 31 14:50:41 2024	1717147241	0	121	121	120
Fri May 31 14:50:43 2024	1717147243	0	121	121	121
Fri May 31 14:50:43 2024	1717147243	0	121	121	121
Fri May 31 14:50:43 2024	1717147243	0	121	121	121
Fri May 31 14:50:44 2024	1717147244	0	121	121	121
Fri May 31 14:50:44 2024	1717147244	0	121	122	121
Fri May 31 14:50:42 2024	1717147242	0	122	122	121
Fri May 31 14:50:44 2024	1717147244	0	122	122	122
Fri May 31 14:50:39 2024	1717147239	0	122	122	122
Fri May 31 14:50:47 2024	1717147247	0	123	123	122
Fri May 31 14:50:41 2024	1717147241	0	123	123	122
Fri May 31 14:50:44 2024	1717147244	0	123	123	123
Fri May 31 14:50:41 2024	1717147241	0	123	123	123
Fri May 31 14:50:42 2024	1717147242	0	125	125	125
Fri May 31 14:50:43 2024	1717147243	0	125	125	125
Fri May 31 14:50:40 2024	1717147240	0	125	125	111
Fri May 31 14:50:43 2024	1717147243	0	125	125	125
Fri May 31 14:50:44 2024	1717147244	0	126	126	125
Fri May 31 14:50:47 2024	1717147247	1	125	126	125
Fri May 31 14:50:43 2024	1717147243	0	127	127	127
Fri May 31 14:50:39 2024	1717147239	2	126	127	125
Fri May 31 14:50:41 2024	1717147241	0	128	128	128
Fri May 31 14:50:46 2024	1717147246	0	129	129	125
Fri May 31 14:50:40 2024	1717147240	0	129	129	100
Fri May 31 14:50:43 2024	1717147243	0	130	130	129
Fri May 31 14:50:44 2024	1717147244	0	130	130	130
Fri May 31 14:50:41 2024	1717147241	0	131	131	130
Fri May 31 14:50:39 2024	1717147239	3	128	131	127
Fri May 31 14:50:41 2024	1717147241	0	132	132	131
Fri May 31 14:50:42 2024	1717147242	0	132	132	132
Fri May 31 14:50:40 2024	1717147240	0	132	132	132
Fri May 31 14:50:39 2024	1717147239	0	132	132	91
Fri May 31 14:50:42 2024	1717147242	0	133	133	132
Fri May 31 14:50:43 2024	1717147243	0	133	133	132
Fri May 31 14:50:47 2024	1717147247	0	133	133	132
Fri May 31 14:50:40 2024	1717147240	0	133	133	133
Fri May 31 14:50:42 2024	1717147242	0	134	134	133
Fri May 31 14:50:44 2024	1717147244	0	134	134	134
Fri May 31 14:50:41 2024	1717147241	0	135	135	134
Fri May 31 14:50:41 2024	1717147241	0	135	135	135
Fri May 31 14:50:42 2024	1717147242	0	136	136	136
Fri May 31 14:50:44 2024	1717147244	0	136	136	130
Fri May 31 14:50:42 2024	1717147242	0	136	136	136
Fri May 31 14:50:43 2024	1717147243	0	136	136	136
Fri May 31 14:50:44 2024	1717147244	0	136	137	136
Fri May 31 14:50:47 2024	1717147247	0	137	137	136
